page,published_date,price,area,price_per_m2,bedroom,wc,location,home_type,legal_status,furniture
1,07/10/2025,4.72,75.0,63.0,3.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,4.28,72.0,59.5,,,"Đông Anh, Hà Nội",đất,,
1,07/10/2025,38.3,288.0,133.0,,,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",,
1,07/10/2025,2.75,43.0,63.95,1.0,,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,
1,07/10/2025,3.85,18.0,213.89,2.0,1.0,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,
1,07/10/2025,33.0,347.4,95.0,,,"Đống Đa, Hà Nội",căn hộ chung cư,Sổ đỏ,
1,07/10/2025,4.1,63.0,65.08,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,,75.0,,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,3.35,59.0,56.78,2.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,
1,07/10/2025,2.0,100.0,20.0,,,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,
1,07/10/2025,15.6,104.0,150.0,,,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",,
1,07/10/2025,6.62,72.0,92.0,2.0,,"Thanh Xuân, Hà Nội",căn hộ chung cư,,
1,07/10/2025,16.3,154.0,105.84,4.0,3.0,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,3.96,55.0,72.0,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,,"Thiết bị bàn giao xịn xò: Sàn gỗ, trần thạch cao 2.9m, bếp từ Bosch, tủ bếp trên dưới, thiết bị vs nhập khẩu, hệ thống điện thông minh, cảm ứng, điều hòa 2 chiều Daikin, căn hộ smart home mở cửa từ xa"
1,07/10/2025,2.35,30.4,77.3,,,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,,Nội thất cơ bản CĐT.
1,07/10/2025,1.76,25.0,70.2,,,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,,Nội thất cơ bản CĐT.
1,07/10/2025,18.5,63.0,293.65,4.0,4.0,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
1,07/10/2025,38.3,288.0,133.0,,,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",,
1,07/10/2025,2.4,29.0,82.76,2.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,2.7,30.0,90.0,1.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,,
2,07/10/2025,10.5,77.0,136.36,2.0,2.0,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,3.4,48.0,70.83,2.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,2.9,43.0,67.44,1.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Không nội thất
2,07/10/2025,4.8,75.0,64.0,3.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Không nội thất
2,07/10/2025,3.35,55.0,60.91,2.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,23.0,120.0,191.67,6.0,,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,
2,07/10/2025,2.3,30.0,76.67,,,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,38.0,228.0,166.67,4.0,4.0,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
2,07/10/2025,,88.0,,,,"Hoài Đức, Hà Nội",nhà riêng,Sổ đỏ,
2,07/10/2025,12.75,116.0,109.91,3.0,,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,,
2,07/10/2025,12.5,74.3,168.24,,,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",,
2,07/10/2025,4.6,64.6,71.21,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
2,07/10/2025,3.9,42.0,92.86,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,
2,07/10/2025,3.95,54.0,73.15,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,7.9,93.0,85.0,3.0,,"Gia Lâm, Hà Nội",căn hộ chung cư,,
2,07/10/2025,8.5,31.0,274.19,,,"Tây Hồ, Hà Nội",nhà riêng,,
2,07/10/2025,10.75,152.5,70.49,3.0,3.0,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,
2,07/10/2025,18.1,120.0,150.83,,,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",,
2,07/10/2025,,43.0,,1.0,1.0,"Cầu Giấy, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
2,07/10/2025,20.0,55.0,363.64,,,"Hoàn Kiếm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
3,07/10/2025,20.0,55.0,363.64,,,"Hoàn Kiếm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
3,06/10/2025,,50.0,,1.0,,"Long Biên, Hà Nội",căn hộ chung cư,Sổ hồng,Đầy đủ
3,06/10/2025,6.1,81.3,75.03,2.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
3,06/10/2025,,72.0,,3.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất tiêu chuẩn bàn giao quốc tế 5*.
3,06/10/2025,,500.0,,,,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
3,06/10/2025,3.5,43.0,81.4,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản chủ đầu tư bàn giao
3,06/10/2025,,28.9,,1.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
3,06/10/2025,4.0,61.0,65.57,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,3.18,43.0,74.0,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản.
3,06/10/2025,6.5,72.9,89.16,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,
3,06/10/2025,9.4,140.0,67.14,4.0,2.0,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,8.85,31.0,285.48,5.0,4.0,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng.,Đầy đủ
3,06/10/2025,23.4,75.0,312.0,,,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ,Không nội thất
3,06/10/2025,,69.0,,2.0,2.0,"Cầu Giấy, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
3,06/10/2025,6.25,72.0,86.81,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,
3,06/10/2025,5.5,54.26,101.36,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,12.5,73.5,170.07,5.0,4.0,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Hợp đồng mua bán,Xây thô hoàn thiện mặt ngoài
3,06/10/2025,8.0,100.0,80.0,3.0,2.0,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,2.3,30.0,76.67,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,
3,06/10/2025,6.5,73.0,89.04,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,,Đầy đủ.
4,06/10/2025,6.36,79.0,80.51,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
4,06/10/2025,3.14,43.0,73.0,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
4,06/10/2025,2.5,28.6,87.41,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
4,06/10/2025,7.6,84.8,89.62,2.0,2.0,"Hà Đông, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
4,06/10/2025,,95.0,,3.0,2.0,"Cầu Giấy, Hà Nội",căn hộ chung cư,,
4,06/10/2025,9.8,73.8,132.79,,,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
4,06/10/2025,9.3,100.0,93.0,3.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,"Đầy đủ nội thất liền tường + thiết bị bếp (máy hút mùi, lò nướng, tủ lạnh, máy rửa bát... )."
4,06/10/2025,39.0,115.0,339.13,5.0,4.0,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
4,06/10/2025,,65.0,,2.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,,
4,06/10/2025,,80.0,,,,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ lâu dài.,Full nội thất.
4,06/10/2025,31.5,120.0,262.5,,,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng.,Đầy đủ
4,06/10/2025,6.5,73.0,89.04,2.0,2.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
4,06/10/2025,49.5,140.0,353.57,,,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
4,06/10/2025,49.7,140.0,355.0,,,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
4,06/10/2025,50.0,150.0,333.33,6.0,5.0,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
4,06/10/2025,22.6,132.5,170.57,5.0,6.0,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,
4,06/10/2025,17.5,152.0,115.13,4.0,3.0,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Full nội thất.
4,05/10/2025,,40.0,,1.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
4,05/10/2025,,116.0,,3.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán.,Full nội thất.
4,05/10/2025,13.0,126.0,103.18,3.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,05/10/2025,3.9,300.0,13.0,,,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,
5,05/10/2025,24.2,67.5,358.52,6.0,5.0,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
5,05/10/2025,5.3,62.3,85.07,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Nội thất mới 100%.
5,05/10/2025,2.65,30.8,86.04,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,,65.0,,2.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,4.2,100.0,42.0,,,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,
5,04/10/2025,,100.0,,,,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,
5,04/10/2025,11.5,67.0,171.64,,,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",,
5,04/10/2025,17.9,120.0,149.17,5.0,4.0,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
5,04/10/2025,,48.0,,1.0,1.0,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,19.0,63.0,301.59,5.0,4.0,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
5,04/10/2025,41.0,72.0,569.44,5.0,4.0,"Đống Đa, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
5,04/10/2025,5.92,97.0,61.03,3.0,2.0,"Đông Anh, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,4.1,55.0,74.54,2.0,2.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,17.9,50.0,358.0,2.0,3.0,"Hà Đông, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
5,04/10/2025,420.0,780.0,538.46,,,"Tây Hồ, Hà Nội",nhà mặt phố,,
5,04/10/2025,,69.0,,2.0,2.0,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,3.5,43.0,81.4,1.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,17.5,163.0,107.36,,,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,
5,04/10/2025,22.5,80.0,281.25,,,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ,
6,04/10/2025,9.8,60.0,163.33,,,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,
6,04/10/2025,29.5,75.0,393.33,,,"Đông Anh, Hà Nội","shophouse, nhà phố thương mại",,
6,04/10/2025,49.0,140.0,350.0,5.0,5.0,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
6,04/10/2025,5.5,60.0,91.67,2.0,2.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,,43.0,,2.0,1.0,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
6,04/10/2025,36.0,70.0,514.29,21.0,22.0,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,,55.0,,2.0,1.0,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,56.0,227.0,246.7,,,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,
6,04/10/2025,6.7,50.0,134.0,,,"Hoàng Mai, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,
